,name,nationality,clubName,ErrChance,ErrGoal,PossLostP90,OffsideP90
380,Kieran Tierney,Scotland,Arsenal FC,1,0,15.61,0.00
381,Kepa Arrizabalaga,Spain,Chelsea FC,1,0,6.06,0.00
382,Wilfred Ndidi,Nigeria,Leicester City FC,2,1,10.36,0.04
383,Frédéric Guilbert,France,Aston Villa FC,1,0,18.87,0.09
384,Femenía Far,Spain,Watford FC,0,0,13.62,0.04
385,Dominic Calvert-Lewin,England,Everton FC,0,0,12.04,0.44
386,Yerry Mina,Colombia,Everton FC,1,0,9.50,0.08
387,Harry Wilson,Wales,AFC Bournemouth,0,0,12.98,0.05
388,Bernardo,Brazil,Brighton & Hove Albion FC,0,0,18.27,0.53
389,Oleksandr Zinchenko,Ukraine,Manchester City FC,0,1,13.16,0.07
390,Ben Godfrey,England,Norwich City FC,2,0,7.97,0.00
391,Gabriel Jesus,Brazil,Manchester City FC,0,0,8.13,0.80
392,Rob Holding,England,Arsenal FC,0,0,8.83,0.00
393,Mbwana Samatta,Tanzania,Aston Villa FC,0,0,9.42,0.77
394,Sander Berge,Norway,Sheffield United FC,0,0,11.39,0.10
395,Albian Ajeti,Switzerland,West Ham United FC,0,0,7.56,1.38
396,Kevin Danso,Austria,Southampton FC,0,0,19.96,0.00
397,Nathan Holland,England,West Ham United FC,0,0,,
398,Trent Alexander-Arnold,England,Liverpool FC,2,1,29.33,0.08
399,Timothy Fosu-Mensah,Netherlands,Manchester United FC,0,0,10.00,0.67
400,Patrick Cutrone,Italy,Wolverhampton Wanderers FC,0,0,12.94,1.23
401,Jefferson Lerma,Colombia,AFC Bournemouth,1,0,12.23,0.04
402,Kelechi Iheanacho,Nigeria,Leicester City FC,0,0,12.92,0.85
403,Wesley,Brazil,Aston Villa FC,0,0,9.80,0.70
404,Tomáš Souček,Czech Republic,West Ham United FC,0,0,11.32,0.00
405,Onel Hernández,Cuba,Norwich City FC,0,0,13.61,0.52
406,Ben Chilwell,England,Leicester City FC,2,0,21.94,0.04
407,Sam Surridge,England,AFC Bournemouth,0,0,,
408,Pablo Fornals,Spain,West Ham United FC,0,0,13.22,0.29
409,Marcus Rashford,England,Manchester United FC,0,0,14.34,0.44
410,Tammy Abraham,England,Chelsea FC,0,0,11.22,0.94
411,Christian Pulisic,United States,Chelsea FC,0,0,17.61,0.15
412,Axel Tuanzebe,England,Manchester United FC,0,1,7.17,0.00
413,Çağlar Söyüncü,Turkey,Leicester City FC,1,0,8.27,0.03
414,Arnaut Danjuma,Netherlands,AFC Bournemouth,1,0,14.05,0.72
415,Dean Henderson,England,Sheffield United FC,0,1,16.67,0.00
416,Issa Diop,France,West Ham United FC,1,1,7.61,0.04
417,Ismaïla Sarr,Senegal,Watford FC,0,0,15.75,0.53
418,Yves Bissouma,Mali,Brighton & Hove Albion FC,0,0,12.56,0.00
419,Mason Mount,England,Chelsea FC,0,0,14.31,0.13
420,Scott McTominay,Scotland,Manchester United FC,1,1,14.59,0.00
421,Moise Kean,Italy,Everton FC,1,0,12.61,0.43
422,Nathan Tella,England,Southampton FC,0,0,,
423,Emile Smith-Rowe,England,Arsenal FC,0,0,11.13,0.00
424,Eddie Nketiah,England,Arsenal FC,0,0,11.25,0.42
425,Reiss Nelson,England,Arsenal FC,0,0,12.80,0.58
426,Joe Willock,England,Arsenal FC,1,0,14.02,0.00
427,Angus Gunn,England,Southampton FC,0,0,14.30,0.00
428,Rodri,Spain,Manchester City FC,0,0,8.76,0.00
429,Ezri Konsa,England,Aston Villa FC,2,1,9.69,0.05
430,James Justin,England,Leicester City FC,0,0,17.20,0.09
431,Daniel James,Wales,Manchester United FC,0,0,13.67,0.08
432,Jack Simpson,England,AFC Bournemouth,0,1,14.00,0.00
433,Keinan Davis,England,Aston Villa FC,0,0,13.21,0.50
434,Hamza Choudhury,England,Leicester City FC,0,0,9.53,0.00
435,Mark Travers,Republic of Ireland,AFC Bournemouth,0,1,10.00,0.00
436,Ruben Vinagre,Portugal,Wolverhampton Wanderers FC,0,0,19.70,0.00
437,Gedson,Portugal,Tottenham Hotspur FC,0,0,,
438,Quina,Portugal,Watford FC,0,0,,
439,Kyle Walker-Peters,England,Southampton FC,1,0,16.86,0.19
440,Tahith Chong,Netherlands,Manchester United FC,0,0,,
441,David Brooks,Wales,AFC Bournemouth,0,0,15.50,0.00
442,Japhet Tanganga,England,Tottenham Hotspur FC,1,1,10.95,0.00
443,Ryan Sessegnon,England,Tottenham Hotspur FC,0,0,17.15,0.53
444,Declan Rice,England,West Ham United FC,0,0,8.60,0.05
445,Yan Valery,France,Southampton FC,0,2,20.92,0.34
446,Tom Davies,England,Everton FC,0,0,11.59,0.05
447,Aaron Ramsdale,England,AFC Bournemouth,1,0,12.38,0.00
448,George Hirst,England,Leicester City FC,0,0,,
449,Richarlison,Brazil,Everton FC,0,0,15.72,0.50
450,Douglas Luiz,Brazil,Aston Villa FC,0,1,10.29,0.00
451,Tanguy Ndombèlé,France,Tottenham Hotspur FC,0,0,14.55,0.00
452,Jarrod Bowen,England,West Ham United FC,0,0,14.95,0.10
453,Bruno Jordão,Portugal,Wolverhampton Wanderers FC,0,0,,
454,Jamal Lewis,Northern Ireland,Norwich City FC,1,0,14.53,0.08
455,Todd Cantwell,England,Norwich City FC,0,1,13.53,0.11
456,Jake Vokins,England,Southampton FC,0,0,18.00,0.00
457,Phil Foden,England,Manchester City FC,0,0,12.42,0.10
458,Harvey Barnes,England,Leicester City FC,0,0,13.47,0.17
459,Oliver Skipp,England,Tottenham Hotspur FC,0,0,,
460,William Smallbone,Republic of Ireland,Southampton FC,0,0,10.56,0.00
461,Aaron Connolly,Republic of Ireland,Brighton & Hove Albion FC,0,0,9.05,1.00
462,Adam Idah,Republic of Ireland,Norwich City FC,0,0,13.56,0.41
463,Mattéo Guendouzi,France,Arsenal FC,2,0,10.35,0.00
464,Morgan Gibbs-White,England,Wolverhampton Wanderers FC,0,0,20.32,0.00
465,Callum Hudson-Odoi,England,Chelsea FC,1,0,19.14,0.32
466,Angel Gomes,England,Manchester United FC,0,0,,
467,Alexis Mac Allister,Argentina,Brighton & Hove Albion FC,0,0,15.38,0.25
468,Reece James,England,Chelsea FC,0,0,17.34,0.06
469,Lloyd Kelly,England,AFC Bournemouth,0,0,10.58,0.00
470,Steven Alzate,Colombia,Brighton & Hove Albion FC,0,0,12.86,0.23
471,Aaron Wan-Bissaka,England,Manchester United FC,0,0,16.50,0.03
472,Ben Johnson,England,West Ham United FC,0,0,18.67,0.00
473,Michael Obafemi,Republic of Ireland,Southampton FC,0,0,12.31,0.41
474,Chris Mepham,Wales,AFC Bournemouth,0,1,8.11,0.10
475,Sean Longstaff,England,Newcastle United FC,1,1,13.64,0.00
476,Juan Foyth,Argentina,Tottenham Hotspur FC,0,0,,
477,Moussa Djénepo,Mali,Southampton FC,0,0,17.03,0.29
478,Pedro Neto,Portugal,Wolverhampton Wanderers FC,0,0,17.60,0.39
479,Eric Garcia,Spain,Manchester City FC,0,0,5.91,0.00
480,Indiana Vassilev,United States,Aston Villa FC,0,0,,
481,Max Kilman,England,Wolverhampton Wanderers FC,0,0,12.72,0.00
482,Max Aarons,England,Norwich City FC,1,0,14.55,0.08
483,Brandon Williams,England,Manchester United FC,0,0,13.08,0.09
484,James Garner,England,Manchester United FC,0,0,,
485,Curtis Jones,England,Liverpool FC,0,0,16.97,0.00
486,Troy Parrott,Republic of Ireland,Tottenham Hotspur FC,0,0,,
487,Faustino Anjorin,England,Chelsea FC,0,0,,
488,Billy Gilmour,Scotland,Chelsea FC,0,0,12.25,0.00
489,Tariq Lamptey,England,Brighton & Hove Albion FC,0,0,13.33,0.00
490,Thomas Doyle,England,Manchester City FC,0,0,,
491,Anthony Gordon,England,Everton FC,0,0,11.89,0.21
492,Luke Thomas,England,Leicester City FC,0,0,16.79,0.00
493,Gabriel Martinelli,Brazil,Arsenal FC,0,0,17.15,0.27
494,Neco Williams,Wales,Liverpool FC,0,0,20.83,0.00
495,Jeremy Ngakia,England,West Ham United FC,0,0,17.96,0.21
496,Matthew Longstaff,England,Newcastle United FC,0,0,9.89,0.00
497,Bukayo Saka,England,Arsenal FC,0,0,14.89,0.51
498,Dwight McNeil,England,Burnley FC,0,0,16.20,0.00
499,Kelland Watts,England,Newcastle United FC,0,0,,
500,Harvey Elliot,England,Liverpool FC,0,0,,
501,Mason Greenwood,England,Manchester United FC,1,0,8.78,0.21
502,Armando Broja,Albania,Chelsea FC,0,0,,
503,João Pedro,Brazil,Watford FC,0,0,,
504,Jarrad Branthwaite,England,Everton FC,0,0,10.23,0.00
505,Josh Martin,England,Norwich City FC,0,0,,
506,Pablo Marí,Spain,Arsenal FC,0,0,11.05,0.00
507,Davinson Sánchez,Colombia,Tottenham Hotspur FC,4,0,8.96,0.04
508,Miguel Almirón,Paraguay,Newcastle United FC,0,0,11.54,0.71
509,Fabián Balbuena,Paraguay,West Ham United FC,0,3,11.51,0.00
510,Tyrick Mitchell,England,Crystal Palace FC,0,0,14.45,0.00
511,Brandon Pierrick,England,Crystal Palace FC,0,0,,
512,Max Thompson,England,Burnley FC,0,0,,
